Author,Title,Type of Ban,State,District,Origin of Challenge,Frequency,Date
"Thompson, Craig",Blankets,Banned in Libraries and Classrooms,Florida,Indian river county school district,Administrator,3,2021-11-01
"Thompson, Craig",Blankets,Banned Pending Investigation,Michigan,Gladwin community schools,Administrator,3,2022-05-01
"Thompson, Craig",Blankets,Banned in Libraries,Missouri,Nixa public schools,Formal Challenge,3,2022-02-01
"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,Florida,Brevard public schools,Administrator,3,2022-05-01
"Kaur, Rupi",Milk and Honey,Banned in Libraries and Classrooms,Texas,Frisco independent school district,Administrator,3,2022-04-01
"Kaur, Rupi",Milk and Honey,Banned in Libraries and Classrooms,Texas,Killeen independent school district,Administrator,3,2022-04-01
"Meyers, Susan",Everywhere Babies,Banned Pending Investigation,Florida,St. lucie public schools,Formal Challenge,3,2022-01-01
"Reed, Amy",The Nowhere Girls,Banned Pending Investigation,Florida,Brevard public schools,Administrator,3,2022-03-01
"Meyers, Susan",Everywhere Babies,Banned Pending Investigation,Florida,Walton county school district,Administrator,3,2022-04-01
"Tonatiuh, Duncan",Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,Banned in Classrooms,Pennsylvania,Central york school district,Administrator,3,2021-08-01
"Tonatiuh, Duncan",Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Tonatiuh, Duncan",Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Reed, Amy",The Nowhere Girls,Banned in Classrooms,Texas,Leander independent school district,Administrator,3,2021-09-01
"Reed, Amy",The Nowhere Girls,Banned in Libraries and Classrooms,Florida,Indian river county school district,Administrator,3,2021-11-01
"Talley, Robin",As I Descended,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Myracle, Lauren",Shine,Banned Pending Investigation,Michigan,Gladwin community schools,Administrator,3,2022-05-01
"Lo, Malinda",Ash,Banned Pending Investigation,Texas,Klein independent school district,Administrator,3,2021-12-01
"Peters, Julie Anne",grl2grl,Banned Pending Investigation,Florida,Walton county school district,Administrator,3,2022-04-01
"Stone, Nic",Odd One Out,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Stone, Nic",Odd One Out,Banned Pending Investigation,Florida,Indian river county school district,Administrator,3,2021-11-01
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Steinbeck, John",Of Mice and Men,Banned in Classrooms,Texas,Birdville independent school district,Formal Challenge,3,2021-10-01
"Steinbeck, John",Of Mice and Men,Banned in Libraries and Classrooms,Oklahoma,Bristow public schools,Administrator,3,2021-10-01
"Steinbeck, John",Of Mice and Men,Banned in Libraries,Florida,Indian river county school district,Administrator,3,2021-11-01
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,Florida,Brevard public schools,Administrator,3,2022-03-01
"Spiegelman, Art",Maus 1: A Survivor's Tale: My Father Bleeds History,Banned Pending Investigation,Texas,Katy independent school district,Administrator,3,2022-01-01
"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,Texas,Cypress-fairbanks independent school district,Administrator,3,2022-04-01
"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,Texas,Frisco independent school district,Administrator,3,2022-05-01
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,Florida,Indian river county school district,Administrator,3,2021-11-01
"Lo, Malinda",Ash,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Spiegelman, Art",Maus 1: A Survivor's Tale: My Father Bleeds History,Banned in Classrooms,Tennessee,Mcminn county schools,Administrator,3,2022-01-01
"Spiegelman, Art",Maus 1: A Survivor's Tale: My Father Bleeds History,Banned Pending Investigation,Florida,Indian river county school district,Administrator,3,2021-11-01
"Sones, Sonya",The Opposite of Innocent,Banned in Libraries,Wisconsin,School district of waukesha,Administrator,3,2021-12-01
"Sones, Sonya",The Opposite of Innocent,Banned Pending Investigation,Utah,Canyons school district,Administrator,3,2021-10-01
