State,ID,District,Students_tested,Reading_proficiency_rate,Average_proficiency,Diff_from_mean_abs
Arizona,400184,Ball charter schools (dobson),346,58.0,54.32355555555556,3.676444444444442
Arizona,400185,Phoenix education management  llc,458,33.0,54.32355555555556,21.323555555555558
Arizona,400187,Stepping stones academy,131,,54.32355555555556,
Arizona,400189,East valley academy,15,,54.32355555555556,
Arizona,400190,Liberty traditional charter school,327,20.0,54.32355555555556,34.32355555555556
Arizona,400191,Fit kids  inc. dba champion schools,371,33.0,54.32355555555556,21.323555555555558
Arizona,400192,Sonoran desert school,7,,54.32355555555556,
Arizona,400197,Northern arizona vocational institute of technology,7,,54.32355555555556,
Arizona,400201,Pima county board of supervisors,10,,54.32355555555556,
Arizona,400202,Academy of tucson  inc.,373,56.0,54.32355555555556,1.6764444444444422
Arizona,400204,Mountain rose academy  inc.,77,,54.32355555555556,
Arizona,400205,Great expectations academy,180,,54.32355555555556,
Arizona,400206,Desert springs academy,54,,54.32355555555556,
Arizona,400207,Vechij himdag alternative school  inc.,15,,54.32355555555556,
Arizona,400208,Mountain oak charter school  inc.,78,,54.32355555555556,
Arizona,400209,Park view school  inc.,106,,54.32355555555556,
Arizona,400210,Painted pony ranch charter school,71,,54.32355555555556,
Arizona,400211,Mary ellen halvorson educational foundation. dba: tri-city p,50,,54.32355555555556,
Arizona,400212,Benson unified school district,653,43.0,54.32355555555556,11.323555555555558
Arizona,400213,Painted desert demonstration projects  inc.,67,,54.32355555555556,
Arizona,400214,The shelby school,25,,54.32355555555556,
Arizona,400216,Precision academy systems  inc,52,,54.32355555555556,
Arizona,400217,Little lamb community school,137,,54.32355555555556,
Arizona,400218,American basic schools llc,434,25.0,54.32355555555556,29.323555555555558
Arizona,400219,Career success schools,172,,54.32355555555556,
Arizona,400221,Kaizen education foundation dba south pointe elementary scho,178,,54.32355555555556,
Arizona,400223,Daisy education corporation dba sonoran science academy,390,46.0,54.32355555555556,8.323555555555558
Arizona,400225,Horizon community learning center  inc.,339,58.0,54.32355555555556,3.676444444444442
Arizona,400227,Kaizen education foundation dba south pointe junior high sch,120,,54.32355555555556,
Arizona,400229,Milestones charter school,115,,54.32355555555556,
Arizona,400230,Pathfinder charter school foundation,273,22.0,54.32355555555556,32.32355555555556
Arizona,400231,James madison preparatory school,87,,54.32355555555556,
Arizona,400232,Self development charter school,208,78.0,54.32355555555556,23.676444444444442
Arizona,400235,Excalibur charter schools  inc.,171,,54.32355555555556,
Arizona,400237,Paramount education studies inc,195,,54.32355555555556,
Arizona,400238,Metropolitan arts institute  inc.,93,,54.32355555555556,
Arizona,400239,P.l.c. charter schools,728,38.0,54.32355555555556,16.323555555555558
Arizona,400241,Paragon management  inc.,1086,49.0,54.32355555555556,5.323555555555558
Arizona,400243,Skyline schools  inc.,44,,54.32355555555556,
Arizona,400244,Edkey  inc. - sequoia charter school,508,14.0,54.32355555555556,40.32355555555556
Arizona,400246,Edkey  inc. - sequoia village school,159,,54.32355555555556,
Arizona,400248,Telesis center for learning  inc.,271,46.0,54.32355555555556,8.323555555555558
Arizona,400254,Southern arizona community academy  inc.,32,,54.32355555555556,
Arizona,400255,Tucson country day school  inc.,412,51.0,54.32355555555556,3.323555555555558
Arizona,400256,Multidimensional literacy corp.,15,,54.32355555555556,
Arizona,400257,Children's success academy  inc.,30,,54.32355555555556,
Arizona,400258,Carden of tucson  inc.,83,,54.32355555555556,
Arizona,400259,Southgate academy  inc.,346,8.0,54.32355555555556,46.32355555555556
Arizona,400261,Eastpointe high school  inc.,31,,54.32355555555556,
Arizona,400263,Patagonia montessori elementary school,22,,54.32355555555556,
Arizona,400264,Santa cruz valley opportunities in education  inc.,27,,54.32355555555556,
Arizona,400266,Pace preparatory academy  inc.,18,,54.32355555555556,
Arizona,400267,Kestrel schools  inc.,11,,54.32355555555556,
Arizona,400268,Juniper tree academy,219,58.0,54.32355555555556,3.676444444444442
Arizona,400273,Gar  llc dba student choice high school,68,,54.32355555555556,
Arizona,400274,Aibt non-profit charter high school - phoenix,47,,54.32355555555556,
Arizona,400275,Highland free school,19,,54.32355555555556,
Arizona,400276,Academy with community partners  inc,37,,54.32355555555556,
Arizona,400278,Deer valley charter schools  inc.,11,,54.32355555555556,
Arizona,400279,West gilbert charter elementary school  inc.,132,,54.32355555555556,
Arizona,400280,Mohave accelerated learning center,243,33.0,54.32355555555556,21.323555555555558
Arizona,400281,Masada charter school  inc.,303,64.0,54.32355555555556,9.676444444444442
Arizona,400282,Harvest power community development group  inc.,904,22.0,54.32355555555556,32.32355555555556
Arizona,400284,Omega alpha academy,234,30.0,54.32355555555556,24.323555555555558
Arizona,400285,Montessori house  inc.,16,,54.32355555555556,
Arizona,400288,Premier charter high school,65,,54.32355555555556,
Arizona,400290,Pan-american elementary charter,387,27.0,54.32355555555556,27.323555555555558
Arizona,400295,Kingman unified school district,3294,26.0,54.32355555555556,28.323555555555558
Arizona,400296,El centro for the study of primary and secondary education,56,,54.32355555555556,
Arizona,400298,Legacy schools,118,,54.32355555555556,
Arizona,400299,Visions unlimited academy  inc.,31,,54.32355555555556,
Arizona,400303,North star charter school  inc.,51,,54.32355555555556,
Arizona,400310,Calibre academy,446,48.0,54.32355555555556,6.323555555555558
Arizona,400311,E-institute charter schools  inc.,230,65.0,54.32355555555556,10.676444444444442
Arizona,400312,Ira h. hayes memorial applied learning center  inc.,19,,54.32355555555556,
Arizona,400313,New visions academy  inc.,6,,54.32355555555556,
Arizona,400314,Developing innovations in navajo education  inc. (dine  inc.,3,,54.32355555555556,
Arizona,400315,Yavapai accommodation school district,20,,54.32355555555556,
Arizona,400316,Cobre valley institute of technology district,1,,54.32355555555556,
Arizona,400317,Khalsa family services,151,,54.32355555555556,
Arizona,400318,Aprender tucson,139,,54.32355555555556,
Arizona,400320,Acorn montessori charter school,230,45.0,54.32355555555556,9.323555555555558
Arizona,400321,Pinnacle education-wmcb  inc.,7,,54.32355555555556,
Arizona,400322,Desert rose academy inc.,29,,54.32355555555556,
Arizona,400323,Crown charter school  inc,111,,54.32355555555556,
Arizona,400326,Success school,353,38.0,54.32355555555556,16.323555555555558
Arizona,400327,Pointe educational services,777,45.0,54.32355555555556,9.323555555555558
Arizona,400328,A center for creative education,23,,54.32355555555556,
Arizona,400329,Primavera technical learning center,643,78.0,54.32355555555556,23.676444444444442
Arizona,400330,Compass high school  inc.,78,,54.32355555555556,
Arizona,400332,James sandoval preparatory high school,16,,54.32355555555556,
Arizona,400334,Westwind middle school academy,19,,54.32355555555556,
Arizona,400338,Accelerated learning charter school  inc.,24,,54.32355555555556,
Arizona,400339,Destiny school  inc.,164,,54.32355555555556,
